start,start_utc,electricity_eur_kwh,gas_eur_m3
2026-09-24T00:00:00+02:00,2026-09-23T22:00:00Z,0.155292,0.73
2026-09-24T01:00:00+02:00,2026-09-23T23:00:00Z,0.152602,0.73
2026-09-24T02:00:00+02:00,2026-09-24T00:00:00Z,0.13039,0.73
2026-09-24T03:00:00+02:00,2026-09-24T01:00:00Z,0.153123,0.73
2026-09-24T04:00:00+02:00,2026-09-24T02:00:00Z,0.153952,0.73
2026-09-24T05:00:00+02:00,2026-09-24T03:00:00Z,0.158365,0.73
2026-09-24T06:00:00+02:00,2026-09-24T04:00:00Z,0.17356,0.71
2026-09-24T07:00:00+02:00,2026-09-24T05:00:00Z,0.218002,0.71
2026-09-24T08:00:00+02:00,2026-09-24T06:00:00Z,0.206477,0.71
2026-09-24T09:00:00+02:00,2026-09-24T07:00:00Z,0.161105,0.71
2026-09-24T10:00:00+02:00,2026-09-24T08:00:00Z,0.115062,0.71
2026-09-24T11:00:00+02:00,2026-09-24T09:00:00Z,0.085245,0.71
2026-09-24T12:00:00+02:00,2026-09-24T10:00:00Z,0.052763,0.71
2026-09-24T13:00:00+02:00,2026-09-24T11:00:00Z,0.03941,0.71
2026-09-24T14:00:00+02:00,2026-09-24T12:00:00Z,0.03903,0.71
2026-09-24T15:00:00+02:00,2026-09-24T13:00:00Z,0.079988,0.71
2026-09-24T16:00:00+02:00,2026-09-24T14:00:00Z,0.12056,0.71
2026-09-24T17:00:00+02:00,2026-09-24T15:00:00Z,0.17137,0.71
2026-09-24T18:00:00+02:00,2026-09-24T16:00:00Z,0.22118,0.71
2026-09-24T19:00:00+02:00,2026-09-24T17:00:00Z,0.2677,0.71
2026-09-24T20:00:00+02:00,2026-09-24T18:00:00Z,0.26,0.71
2026-09-24T21:00:00+02:00,2026-09-24T19:00:00Z,0.225855,0.71
2026-09-24T22:00:00+02:00,2026-09-24T20:00:00Z,0.204997,0.71
2026-09-24T23:00:00+02:00,2026-09-24T21:00:00Z,0.188222,0.71
