start,start_utc,stroom_eur_kwh_incl_btw,stroom_eur_kwh_excl_btw,gas_eur_m3_incl_btw,gas_eur_m3_excl_btw
2026-09-24T00:00:00+02:00,2026-09-23T22:00:00Z,0.187903,0.155292,0.8833,0.73
2026-09-24T01:00:00+02:00,2026-09-23T23:00:00Z,0.184648,0.152602,0.8833,0.73
2026-09-24T02:00:00+02:00,2026-09-24T00:00:00Z,0.157772,0.13039,0.8833,0.73
2026-09-24T03:00:00+02:00,2026-09-24T01:00:00Z,0.185279,0.153123,0.8833,0.73
2026-09-24T04:00:00+02:00,2026-09-24T02:00:00Z,0.186282,0.153952,0.8833,0.73
2026-09-24T05:00:00+02:00,2026-09-24T03:00:00Z,0.191622,0.158365,0.8833,0.73
2026-09-24T06:00:00+02:00,2026-09-24T04:00:00Z,0.210008,0.17356,0.8591,0.71
2026-09-24T07:00:00+02:00,2026-09-24T05:00:00Z,0.263782,0.218002,0.8591,0.71
2026-09-24T08:00:00+02:00,2026-09-24T06:00:00Z,0.249837,0.206477,0.8591,0.71
2026-09-24T09:00:00+02:00,2026-09-24T07:00:00Z,0.194937,0.161105,0.8591,0.71
2026-09-24T10:00:00+02:00,2026-09-24T08:00:00Z,0.139225,0.115062,0.8591,0.71
2026-09-24T11:00:00+02:00,2026-09-24T09:00:00Z,0.103146,0.085245,0.8591,0.71
2026-09-24T12:00:00+02:00,2026-09-24T10:00:00Z,0.063843,0.052763,0.8591,0.71
2026-09-24T13:00:00+02:00,2026-09-24T11:00:00Z,0.047686,0.03941,0.8591,0.71
2026-09-24T14:00:00+02:00,2026-09-24T12:00:00Z,0.047226,0.03903,0.8591,0.71
2026-09-24T15:00:00+02:00,2026-09-24T13:00:00Z,0.096785,0.079988,0.8591,0.71
2026-09-24T16:00:00+02:00,2026-09-24T14:00:00Z,0.145878,0.12056,0.8591,0.71
2026-09-24T17:00:00+02:00,2026-09-24T15:00:00Z,0.207358,0.17137,0.8591,0.71
2026-09-24T18:00:00+02:00,2026-09-24T16:00:00Z,0.267628,0.22118,0.8591,0.71
2026-09-24T19:00:00+02:00,2026-09-24T17:00:00Z,0.323917,0.2677,0.8591,0.71
2026-09-24T20:00:00+02:00,2026-09-24T18:00:00Z,0.3146,0.26,0.8591,0.71
2026-09-24T21:00:00+02:00,2026-09-24T19:00:00Z,0.273285,0.225855,0.8591,0.71
2026-09-24T22:00:00+02:00,2026-09-24T20:00:00Z,0.248046,0.204997,0.8591,0.71
2026-09-24T23:00:00+02:00,2026-09-24T21:00:00Z,0.227749,0.188222,0.8591,0.71
